state_name,received_message,timestamp,voltage,ambientTemperature,ambientPressure,pressureAlt,estCompensatedAccelX,estCompensatedAccelY,estCompensatedAccelZ,estAngularRateX,estAngularRateY,estAngularRateZ,magneticFieldX,magneticFieldY,magneticFieldZ,estOrientQuaternionW,estOrientQuaternionX,estOrientQuaternionY,estOrientQuaternionZ,gpsLatitude,gpsLongitude,gpsAltitude,current_altitude,vertical_velocity,vertical_acceleration,maximum_altitude,pitch,roll,yaw,maximum_velocity,landing_velocity,crew_survivability
S,No Message Received,180772.0,0.0,14.82535553,1029.18347168,-131.82061768,0.14453125,-9.60546875,0.34375,0.0,0.0,0.0,-22.875,-47.125,9.75,0.39624023,0.4206543,-0.58770752,-0.56622314,35.17578125,-76.82828522,-7.94700003,-0.2869873,0.0,9.61194077,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180802.0,0.0,14.82535553,1029.18347168,-131.82061768,0.18359375,-9.5234375,0.41796875,0.0,0.0,0.0,-22.875,-47.125,9.75,0.39624023,0.4206543,-0.58770752,-0.56628418,0.0,0.0,0.0,-0.2869873,0.0,9.53403687,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180832.0,0.0,14.82535553,1029.18823242,-131.85934448,0.03125,-9.56640625,0.41796875,0.0,0.0,0.0,-22.875,-47.125,9.75,0.39624023,0.4206543,-0.58770752,-0.56628418,0.0,0.0,0.0,-0.32571411,0.0,9.57513283,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180845.0,0.0,14.82535553,1029.18823242,-131.85934448,0.0703125,-9.5625,0.45703125,0.0,0.0,0.0,-21.1875,-47.3125,9.5625,0.39624023,0.4206543,-0.58770752,-0.56628418,35.17578125,-76.82828522,-7.8920002,-0.32571411,0.0,9.57357194,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180875.0,0.0,14.82535553,1029.18823242,-131.85934448,0.0703125,-9.5625,0.41796875,0.0,0.0,0.0,-21.1875,-47.3125,9.5625,0.39624023,0.4206543,-0.58770752,-0.56628418,0.0,0.0,0.0,-0.32571411,0.0,9.57169808,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180892.0,0.0,14.82535553,1029.18823242,-131.85934448,0.109375,-9.56640625,0.41796875,0.0,0.0,0.0,-21.1875,-47.3125,9.5625,0.39624023,0.4206543,-0.58764648,-0.56628418,35.17578125,-76.82828522,-7.87300014,-0.32571411,0.0,9.57606629,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180922.0,0.0,14.82535553,1029.18823242,-131.85934448,0.109375,-9.56640625,0.41796875,0.0,0.0,0.0,-21.1875,-47.3125,9.5625,0.39624023,0.42059326,-0.58764648,-0.56634521,0.0,0.0,0.0,-0.32571411,0.0,9.57606629,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180941.0,0.0,14.82250214,1029.18786621,-131.85636902,0.0703125,-9.5625,0.37890625,0.0,0.0,0.0,-21.1875,-47.3125,9.5625,0.39624023,0.42059326,-0.58764648,-0.56634521,35.17578125,-76.82828522,-7.90399981,-0.32273865,0.0,9.56982423,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180972.0,0.0,14.82250214,1029.18786621,-131.85636902,0.03125,-9.60546875,0.41796875,0.0,0.0,0.0,-21.1875,-47.3125,9.5625,0.39624023,0.42059326,-0.58764648,-0.56634521,0.0,0.0,0.0,-0.32273865,0.0,9.61414756,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180995.0,0.0,14.82250214,1029.18786621,-131.85636902,0.0703125,-9.5625,0.41796875,0.0,0.0,0.0,-21.6875,-48.4375,9.0,0.39624023,0.42059326,-0.58764648,-0.56634521,35.17577744,-76.82828522,-7.84100008,-0.32273865,0.0,9.57169808,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,181022.0,0.0,14.82250214,1029.18786621,-131.85636902,0.0703125,-9.5625,0.41796875,0.0,0.0,0.0,-21.6875,-48.4375,9.0,0.39630127,0.42059326,-0.58764648,-0.56634521,0.0,0.0,0.0,-0.32273865,0.0,9.57169808,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,181041.0,0.0,14.82250214,1029.18566895,-131.83848572,0.109375,-9.56640625,0.41796875,0.0,0.0,0.0,-21.6875,-48.4375,9.0,0.39630127,0.42053223,-0.58764648,-0.56634521,35.17577744,-76.82828522,-7.84800005,-0.30485535,0.0,9.57606629,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,181071.0,0.0,14.82250214,1029.18566895,-131.83848572,0.14453125,-9.56640625,0.37890625,0.0,0.0,0.0,-21.6875,-48.4375,9.0,0.39630127,0.42053223,-0.58764648,-0.56634521,0.0,0.0,0.0,-0.30485535,0.0,9.5746125,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,181091.0,0.0,14.82250214,1029.18566895,-131.83848572,0.14453125,-9.56640625,0.41796875,0.0,0.0,0.0,-21.6875,-48.4375,9.0,0.39630127,0.42053223,-0.58764648,-0.56634521,35.17578125,-76.82828522,-7.86499977,-0.30485535,0.0,9.57648635,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,181122.0,0.0,14.82250214,1029.18566895,-131.83848572,0.14453125,-9.56640625,0.41796875,0.0,0.0,0.0,-21.6875,-48.4375,9.0,0.39630127,0.42053223,-0.58764648,-0.56634521,0.0,0.0,0.0,-0.30485535,0.0,9.57648635,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,181141.0,0.0,14.82136536,1029.18566895,-131.83848572,0.14453125,-9.60546875,0.45703125,0.0,0.0,0.0,-21.6875,-48.4375,9.0,0.39630127,0.42053223,-0.58764648,-0.56634521,35.17578125,-76.82828522,-7.88000011,-0.30485535,0.0,9.61737494,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,181171.0,0.0,14.82136536,1029.18566895,-131.83848572,0.0703125,-9.5625,0.41796875,0.0,0.0,0.0,-21.6875,-48.4375,9.0,0.39630127,0.42053223,-0.58764648,-0.56640625,0.0,0.0,0.0,-0.30485535,0.0,9.57169808,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,181191.0,0.0,14.82136536,1029.18566895,-131.83848572,0.03125,-9.56640625,0.45703125,0.0,0.0,0.0,-21.6875,-48.4375,9.0,0.3963623,0.42053223,-0.58764648,-0.56640625,35.17578125,-76.82828522,-7.91499996,-0.30485535,0.0,9.57700668,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,181222.0,0.0,14.82136536,1029.18566895,-131.83848572,0.109375,-9.60546875,0.41796875,0.0,0.0,0.0,-21.6875,-48.4375,9.0,0.39630127,0.42053223,-0.58758545,-0.56640625,0.0,0.0,0.0,-0.30485535,0.0,9.61508103,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,181241.0,0.0,14.82136536,1029.18652344,-131.84544373,0.0703125,-9.5625,0.41796875,0.0,0.0,0.0,-21.6875,-48.4375,9.0,0.39630127,0.42053223,-0.58758545,-0.56640625,35.17578125,-76.82828522,-7.86600018,-0.31181335,0.0,9.57169808,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,181271.0,0.0,14.82136536,1029.18652344,-131.84544373,0.03125,-9.56640625,0.37890625,0.0,0.0,0.0,-21.6875,-48.4375,9.0,0.39630127,0.42053223,-0.58758545,-0.56640625,0.0,0.0,0.0,-0.31181335,0.0,9.57325897,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,181287.0,0.0,14.82136536,1029.18652344,-131.84544373,0.0703125,-9.6015625,0.41796875,0.0,0.0,0.0,-21.6875,-48.4375,9.0,0.39630127,0.42053223,-0.58758545,-0.56640625,35.17577744,-76.82827759,-7.69500017,-0.31181335,0.0,9.61071282,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,181311.0,0.0,14.82136536,1029.18652344,-131.84544373,0.109375,-9.56640625,0.45703125,0.0,0.0,0.0,-21.6875,-48.4375,9.0,0.3963623,0.42053223,-0.58758545,-0.56640625,0.0,0.0,0.0,-0.31181335,0.0,9.57794014,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,181338.0,0.0,14.82078552,1029.18652344,-131.84544373,0.0703125,-9.6015625,0.45703125,0.0,0.0,0.0,-22.4375,-46.8125,10.5,0.3963623,0.42053223,-0.58758545,-0.56640625,35.17577744,-76.82827759,-7.71600008,-0.31181335,0.0,9.61258668,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,181372.0,0.0,14.82078552,1029.18652344,-131.84544373,0.109375,-9.5234375,0.45703125,0.0,0.0,0.0,-22.4375,-46.8125,10.5,0.3963623,0.42047119,-0.58758545,-0.56640625,0.0,0.0,0.0,-0.31181335,0.0,9.53502393,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,181392.0,0.0,14.82078552,1029.18652344,-131.84544373,0.109375,-9.56640625,0.37890625,0.0,0.0,0.0,-22.4375,-46.8125,10.5,0.3963623,0.42047119,-0.58758545,-0.56640625,35.17577744,-76.82827759,-7.71000004,-0.31181335,0.0,9.57419244,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,181421.0,0.0,14.82078552,1029.18652344,-131.84544373,0.109375,-9.56640625,0.37890625,0.0,0.0,0.0,-22.25,-47.875,9.9375,0.3963623,0.42047119,-0.58758545,-0.56640625,0.0,0.0,0.0,-0.31181335,0.0,9.57419244,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,181443.0,0.0,14.82078552,1029.18469238,-131.83055115,0.14453125,-9.56640625,0.41796875,0.0,0.0,0.0,-22.25,-47.875,9.9375,0.3963623,0.42047119,-0.58758545,-0.56640625,35.17577744,-76.82827759,-7.64799976,-0.29692078,0.0,9.57648635,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,181472.0,0.0,14.82078552,1029.18469238,-131.83055115,0.18359375,-9.56640625,0.45703125,0.0,0.0,0.0,-22.25,-47.875,9.9375,0.3963623,0.42047119,-0.58758545,-0.56640625,0.0,0.0,0.0,-0.29692078,0.0,9.57882694,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,181492.0,0.0,14.82078552,1029.18469238,-131.83055115,0.14453125,-9.60546875,0.37890625,0.0,0.0,0.0,-21.1875,-48.25,10.75,0.3963623,0.42047119,-0.58758545,-0.56640625,35.17577744,-76.82827759,-7.63500023,-0.29692078,0.0,9.61362724,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
